Species	Formula	CAS	Inchi	Enthalpy	T(K)_Enthalpy	E_mean	E_min	E_max	Pre-exponential_factor	Order_factor	Method	Origin	Reference	Type_of_surface	Description
N	N	17778-88-0	InChI=1S/N	472.68±0.024	298	800	0	0	0.00E+0	1	Estimation	Bibliography	Tielens,A.G.G.M.etal.;1982;AstronomyandAstrophysics;114,245-260	H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
N(2D)	N	NoData	InChI=1S/N	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
N+	N+	14158-23-7	InChI=1S/N/q+1	1881.903±0.024	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
Na	Na	7440-23-5	InChI=1S/Na	107.5±0.7	298	11800	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006.  The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
Na+	Na+	17341-25-2	InChI=1S/Na/q+1	609.34	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
Ne	Ne	NoData	InChI=1S/Ne	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
N2	N2	7727-37-9	InChI=1S/N2/c1-2	0	298	1100±330	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
N2	N2	7727-37-9	InChI=1S/N2/c1-2	0	298	1000	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Herma Cuppen's suggestion The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
N2+	N2+	13966-04-6	InChI=1S/N2/c1-2/q+1	1509.509±0.00055	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
NaH	NaH	7646-69-7	InChI=1S/Na.H	124.26±19.2	298	12250	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of Na + H. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
ND	ND	15123-00-9	Inchi=1S/HN/h1H/i1D	375.31	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
NH	NH	13774-92-0	InChI=1S/HN/h1H	358.792±0.17	298	2600±780	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
NH	NH	13774-92-0	InChI=1S/HN/h1H	358.792±0.17	298	2378	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
NH+	NH+	NoData	InChI=1S/HN/h1H/q+1	1665.795±0.25	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
NO	NO	10102-43-9	InChI=1S/NO/c1-2	91.271±0.064	298	1600±480	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
NO	NO	10102-43-9	InChI=1S/NO/c1-2	91.271±0.064	298	1600	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of N + O. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
NO+	NO+	14452-93-8	InChI=1S/NO/c1-2/q+1	990.807±0.064	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
NS	NS	12033-56-6	InChI=1S/NS/c1-2	279.45±2.1	298	1900	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of N+S The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
NS+	NS+	NoData	InChI=1S/NS/c1-2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
N2H	N2H	36882-13-0	InChI=1S/N2/c1-2	249.484±0.74	298	1450	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of N2+H The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
N2H+	N2H+	12357-66-3	InChI=1S/HN2/c1-2/h1H/q+1	1045.33±0.74	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
N2O	N2O	10024-97-2	InChI=1S/N2O/c1-2-3	81.6±0.1	298	2400	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of N+N+O The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
NaH2+	NaH2+	NoData	InChI=	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
NaOH	NaOH	1310-73-2	InChI=	-191±8	298	14650	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of Na+OH The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
NCO+	NCO+	17247-99-3	InChI=1S/NO2/c2-1-3/q+1	1268.52±0.58	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
NCS+	NCS+	NoData	InChI=1S/CNS/c2-1-3/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
NH2	NH2	13770-40-6	InChI=1S/H2N/h1H2	186.2±0.15	298	3200±960	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
NH2	NH2	13770-40-6	InChI=1S/H2N/h1H2	186.2±0.15	298	3956	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
NH2-	NH2-	NoData	NoData	105.91±0.34	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
NH2+	NH2+	15194-15-7	InChI=1S/H2N/h1H2/q+1	1269.973±0.169	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
NHD	NHD	NoData	InChI=1S/H2N/h1H2/i1D	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
NO2	NO2	10102-44-0	InChI=1S/NO2/c2-1-3	34.193±0.07	298	2400	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of N+O+O The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
NO2+	NO2+	14522-82-8	InChI=1S/NO2/c2-1-3/q+1	964.409±0.2	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
N2H2	N2H2	NoData	InChI=1S/H2N2/c1-2/h1-2H	200.219±0.54	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
NaH2O+	NaH2O+	NoData	InChI=	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
NCSH	NCSH	NoData	InChI=1S/CHNS/c2-1-3/h3H	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
NCSH+	NCSH+	NoData	InChI=1S/CHNS/c2-1-3/h3H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
NH3	NH3	7664-41-7	InChI=1S/H3N/h1H3	-45.567±0.03	298	5500±1650	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
NH3	NH3	7664-41-7	InChI=1S/H3N/h1H3	-45.567±0.03	298	5534	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
NH3+	NH3+	19496-55-0	InChI=1S/H3N/h1H3/q+1	943.294±0.03	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
NO3	NO3	12033-49-7	InChI=1S/NO3/c2-1(3)4	74.628±0.19	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
N2H3	N2H3	13598-46-4	NoData	224.856±0.91	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
NH2CN	NH2CN	420-04-2	InChI=1S/CH2N2/c2-1-3/h2H2	134.553±8	298	5556	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of NH2+CN The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
NH2CS	NH2CS	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
NH4+	NH4+	14798-03-9	InChI=1S/H3N/h1H3/p+1	637.9±0.21	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
N2H4	N2H4	302-01-2	InChI=1S/H4N2/c1-2/h1-2H2	95.18±0.2	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
NC4N	NC4N	1071-98-3	InChI=1S/C4N2/c5-3-1-2-4-6	533.46±0.8	298	4200	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006.  The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
NH2CDO	NH2CDO	NoData	InChI=1S/CH3NO/c2-1-3/h1H,(H2,2,3)/i1D	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
NH2CHO	NH2CHO	75-12-7	InChI=1S/CH3NO/c2-1-3/h1H,(H2,2,3)	-189.598±8	298	6300±1890	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
NH2CHO	NH2CHO	75-12-7	InChI=1S/CH3NO/c2-1-3/h1H,(H2,2,3)	-189.598±8	298	5556	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of NH2+HCO The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
NH2CHS+	NH2CHS+	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
NH2CNH+	NH2CNH+	NoData	InChI=1S/CH2N2/c2-1-3/h2H2/p+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
NH2CHS	NH3CS	NoData	InChI=1S/CH3NS/c2-1-3/h1H,(H2,2,3)	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
cis-NHDCHO	NHDCHO	NoData	InChI=1S/CH3NO/c2-1-3/h1H,(H2,2,3)/i/hD	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
trans-NHDCHO	NHDCHO	NoData	InChI=1S/CH3NO/c2-1-3/h1H,(H2,2,3)/i/hD	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
NH2CH2O+	NH2CH2O+	NoData	InChI=1S/CH3NO/c2-1-3/h1H,(H2,2,3)/p+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
NH2CH2S	NH2CH2S	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
NH2CHSH	NH2CHSH	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
NH2CHSH+	NH2CHSH+	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
NH3CHS+	NH3CHS+	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
NC6N	NC6N	16419-78-6	InChI=1S/C6N2/c7-5-3-1-2-4-6-8	NoData	NoData	5800	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006.  The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
NH2CH2SH	NH2CH2SH	NoData	InChI=1S/CH5NS/c2-1-3/h3H,1-2H2	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
NH2CH2SH+	NH2CH2SH+	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
NH3CH2SH+	NH3CH2SH+	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
NC8N	NC8N	134830-04-9	InChI=1S/C8N2/c9-7-5-3-1-2-4-6-8-10	NoData	NoData	7400	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006.  The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
O	O	17778-80-2	InChI=1S/O	249.175±0.002	298	1660±60	0	0	1.00E+12	0	Measurements	Bibliography	He,J.etal.;2015;AstrophysicalJournal;801,120	H2O/Amorphous/Porous	 
O	O	17778-80-2	InChI=1S/O	249.175±0.002	298	1850±90	0	0	1.00E+12	0	Measurements	Bibliography	He,J.etal.;2015;AstrophysicalJournal;801,120	SiOx/Silicate	 
O	O	17778-80-2	InChI=1S/O	249.175±0.002	298	1600±480	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
O(1D)	O	NoData	InChI=1S/O	249.229±0.002	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
O-	O-	14337-01-0	InChI=1S/O/q-1	101.846±0.002	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
O+	O+	14581-93-2	InChI=1S/O/q+1	1568.787±0.002	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
O2	O2	7782-44-7	InChI=1S/O2/c1-2	0	298	1200±360	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
O2	O2	7782-44-7	InChI=1S/O2/c1-2	0	298	1000	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Herma Cuppen's suggestion The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
O2+	O2+	12185-07-8	InChI=1S/O2/c1-2/q+1	1171.828±0.009	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
OH	OH	3352-57-6	InChI=1S/HO/h1H	37.3±0.3	298	4600±1380	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
OH	OH	3352-57-6	InChI=1S/HO/h1H	37.3±0.3	298	2850	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
OH-	OH-	14280-30-9	InChI=1S/H2O/h1H2/p-1	-145.256±0.036	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
OH+	OH+	12259-29-9	InChI=1S/HO/h1H/q+1	1299.213±0.042	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
O2H	O2H	3170-83-0	InChI=1S/HO2/c1-2/h1H	12.296±0.25	298	5000±1500	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
O2H	O2H	3170-83-0	InChI=1S/HO2/c1-2/h1H	12.296±0.25	298	3650	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of O + OH. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
HO2+	O2H+	71722-67-3	InChI=1S/HO2/c1-2/h1H/q+1	1113.774±0.11	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
O3	O3	10028-15-6	InChI=1S/O3/c1-3-2	141.8±0.04	298	2100±630	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
O3	O3	10028-15-6	InChI=1S/O3/c1-3-2	141.8±0.04	298	1800	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of O2 + O. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
OClO	OClO	10049-04-4	InChI=1S/ClO2/c2-1-3	99.035±6.3	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
OCN	OCN	22400-26-6	InChI=1S/CNO/c2-1-3	128.04±0.39	298	2400	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of O+C+N The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
OCS	OCS	463-58-1	InChI=1S/COS/c2-1-3	-141.7±2	298	2400±720	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
OCS	OCS	463-58-1	InChI=1S/COS/c2-1-3	-141.7±2	298	2888	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This value was deduced from Collings et al. (2004). This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
OCS+	OCS+	NoData	InChI=1S/COS/c2-1-3/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
P	P	7723-14-0	InChI=1S/P	316.5±1	298	1100	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
P+	P+	16427-80-8	InChI=1S/P/q+1	1335.46	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
Photon	Photon	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
PH	PH	13967-14-1	InChI=1S/HP/h1H	230.752±33.5	298	1550	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of P+H The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
PH+	PH+	NoData	InChI=1S/HP/h1H/q+1	1224.9±8	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
PN	PN	17739-47-8	InChI=1S/NP/c1-2	171.487±15	298	1900	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of P+N The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
PN+	PN+	NoData	InChI=1S/NP/c1-2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
PO	PO	14452-66-5	InChI=1S/OP/c1-2	-27.344±3	298	1900	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of P+O The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
PO+	PO+	NoData	InChI=1S/OP/c1-2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
PH2	PH2	13765-43-0	InChI=1S/H2P/h1H2	135.474±8	298	2000	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of P+H+H The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
PH2+	PH2+	12339-26-3	InChI=1S/H2P/h1H2/q+1	1082.957±8	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
PC2H+	PC2H+	NoData	InChI=1S/C2HP/c1-2-3/h1H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
PCH2+	PCH2+	NoData	InChI=1S/CH2P/c1-2/h1H2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
PH3+	PH3+	97419-07-3	InChI=1S/H3P/h1H3/q+1	965.537±8	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
PNH2+	PNH2+	NoData	InChI=1S/H2NP/c1-2/h1H2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
PC2H2+	PC2H2+	NoData	InChI=1S/C2H2P/c1-2-3/h1H2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
PC3H+	PC3H+	NoData	InChI=1S/C3HP/c1-2-3-4/h1H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
PCH3+	PCH3+	89387-22-4	InChI=1S/CH3P/c1-2/h1H3/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
PNH3+	PNH3+	NoData	InChI=1S/H3NP/c1-2/h1H3/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
PC2H3+	PC2H3+	96607-20-4	InChI=1S/C2H3P/c1-2-3/h2H,1H2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
PC4H+	PC4H+	NoData	InChI=1S/C4HP/c1-2-3-4-5/h1H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
PCH4+	PCH4+	NoData	InChI=1S/CH4P/c1-2/h2H,1H3/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
